label,carat,cut,color,clarity,depth,table,x,y,z,price
1.00,0.30,Ideal,E,SI1,62.10,58.00,4.27,4.29,2.66,499.00
2.00,0.33,Premium,G,IF,60.80,58.00,4.42,4.46,2.70,984.00
3.00,0.90,Very Good,E,VVS2,62.20,60.00,6.04,6.12,3.78,6289.00
4.00,0.42,Ideal,F,VS1,61.60,56.00,4.82,4.80,2.96,1082.00
5.00,0.31,Ideal,F,VVS1,60.40,59.00,4.35,4.43,2.65,779.00
6.00,1.02,Ideal,D,VS2,61.50,56.00,6.46,6.49,3.99,9502.00
7.00,1.01,Good,H,SI1,63.70,60.00,6.35,6.30,4.03,4836.00
8.00,0.50,Premium,E,SI1,61.50,62.00,5.09,5.06,3.12,1415.00
9.00,1.21,Good,H,SI1,63.80,64.00,6.72,6.63,4.26,5407.00
10.00,0.35,Ideal,F,VS2,60.50,57.00,4.52,4.60,2.76,706.00
11.00,0.32,Ideal,E,VS2,61.60,56.00,4.40,4.43,2.72,637.00
12.00,1.10,Premium,D,SI1,60.70,55.00,6.74,6.71,4.08,6468.00
13.00,0.50,Good,E,VS1,61.10,58.20,5.08,5.12,3.11,1932.00
14.00,0.71,Ideal,D,SI2,61.60,55.00,5.74,5.76,3.54,2767.00
15.00,1.50,Fair,G,VS2,66.20,53.00,7.12,7.08,4.70,10644.00
16.00,0.31,Ideal,G,VS2,61.60,55.00,4.37,4.39,2.70,544.00
17.00,0.34,Ideal,G,SI1,61.20,57.00,4.56,4.53,2.78,650.00
18.00,1.01,Ideal,D,VS2,59.80,56.00,6.52,6.49,3.89,7127.00
19.00,0.90,Good,D,SI1,61.90,64.00,6.00,6.09,3.74,3567.00
20.00,0.54,Premium,G,VS2,60.00,59.00,5.42,5.22,3.19,1637.00
21.00,1.04,Premium,D,VVS2,61.10,60.00,6.54,6.51,3.99,10984.00
22.00,0.40,Ideal,F,VS2,62.90,57.00,4.72,4.69,2.96,1080.00
23.00,1.52,Ideal,D,SI2,62.70,56.00,7.35,7.28,4.59,8631.00
24.00,1.19,Ideal,J,SI2,61.70,56.00,6.80,6.85,4.21,4508.00
25.00,0.66,Ideal,H,SI1,62.40,58.00,5.53,5.56,3.46,1609.00
26.00,1.50,Premium,H,SI2,61.40,62.00,7.40,7.25,4.49,7187.00
27.00,0.34,Ideal,D,SI1,,57.00,4.50,4.44,2.74,803.00
28.00,0.52,Ideal,E,VS2,61.50,56.00,5.18,5.20,3.19,1576.00
29.00,0.31,Ideal,H,SI1,61.90,56.00,4.38,4.35,2.70,595.00
30.00,0.71,Good,F,SI2,64.00,58.00,5.65,5.59,3.60,1818.00
31.00,1.19,Ideal,G,SI1,62.30,55.00,6.76,6.81,4.23,6335.00
32.00,0.72,Very Good,J,VVS2,63.00,59.00,5.70,5.72,3.60,2144.00
33.00,0.30,Ideal,H,SI1,62.40,55.00,4.30,4.32,2.69,450.00
34.00,0.77,Premium,E,VS1,60.80,56.00,5.95,5.90,3.60,3260.00
35.00,0.35,Very Good,D,VS1,59.90,56.00,4.61,4.64,2.77,846.00
36.00,1.21,Premium,J,VVS2,61.70,60.00,6.82,6.85,4.22,5431.00
37.00,1.01,Very Good,G,SI1,62.80,56.00,6.35,6.43,4.01,5049.00
38.00,0.51,Premium,I,SI1,61.30,58.00,5.16,5.11,3.15,1084.00
39.00,1.26,Ideal,J,SI1,62.00,56.00,6.90,6.93,4.29,5301.00
40.00,1.55,Good,H,VS2,61.00,61.00,7.42,7.47,4.54,11364.00
41.00,0.90,Good,G,SI2,63.80,59.00,6.05,6.02,3.85,3246.00
42.00,1.58,Premium,F,SI2,62.30,60.00,7.42,7.38,4.61,9290.00
43.00,0.43,Premium,F,SI1,60.50,60.00,4.88,4.84,2.94,1016.00
44.00,0.30,Ideal,G,VVS1,61.70,54.00,4.32,4.34,2.67,764.00
45.00,2.00,Good,I,SI1,63.90,57.00,8.01,7.91,5.09,12554.00
46.00,1.01,Premium,F,I1,62.60,57.00,6.42,6.30,3.99,2257.00
47.00,0.43,Premium,F,VS1,62.50,58.00,4.85,4.78,3.01,1129.00
48.00,0.52,Ideal,G,VVS2,61.70,55.00,5.21,5.23,3.22,2338.00
49.00,0.73,Very Good,E,SI2,62.10,58.00,5.75,5.81,3.59,2395.00
50.00,0.52,Ideal,D,VS2,61.80,55.00,5.16,5.19,3.20,1822.00
51.00,0.50,Premium,F,SI2,58.00,62.00,5.21,5.18,3.01,1031.00
52.00,1.14,Premium,G,VS2,61.40,60.00,6.71,6.68,4.11,7079.00
53.00,0.78,Premium,F,SI1,62.40,58.00,5.83,5.80,3.63,2777.00
54.00,0.43,Ideal,G,VS1,62.30,56.00,4.82,4.85,3.01,943.00
55.00,0.91,Very Good,G,SI2,62.90,54.00,6.14,6.22,3.89,3615.00
56.00,1.02,Very Good,F,VS1,62.40,58.00,6.42,6.47,4.02,7587.00
57.00,0.52,Good,E,SI1,63.70,54.00,5.12,5.15,3.27,1388.00
